"","title","price","sold_at","username","bought_and_sold","designer","sold_price"
"104","Yeezy Boost 350 Clay PRE-ORDER",320,"2019-03-12T02:04:20.145Z","bogochasers",16,"Adidas Kanye West",320
"105","Yellow & Blue Ringer T-Shirt",70,"2019-03-11T21:33:44.887Z","johnhacker",53,"Palace",43
"106","🔥FINAL DROP! BNWT Nalon Face Wool Sweater Medium",121,"2019-03-11T19:53:11.314Z","eye_of_horus",6,"Acne Studios",115
"107","Common Project Achilles Low White 41",207,"2019-03-11T22:55:20.016Z","matthewantoniak",12,"Common Projects",165
"108","Supreme Polo",64,"2019-03-12T01:41:03.802Z","sanbernandinoreseller",10,"Supreme",43
"109","Supreme TNF Tee",76,"2019-03-11T19:30:50.137Z","amocat2533",11,"Supreme",65
"110","Supreme Akira Arm Tee Black",104,"2019-03-11T20:47:18.840Z","shkchp31",37,"Supreme",115
"111","John Elliot Gray Paneled Shorts Size 30",78,"2019-03-11T20:24:38.855Z","coccetti_",313,"John Elliott",55
"112","*LAST DROP* Vlone Palm Angels Miami Art Basel Tee Shirt",110,"2019-03-11T19:12:08.173Z","hypebeastProducts",44,"Vlone",105
"113","Supreme Band aid (4 boxes)",60,"2019-03-11T20:53:25.585Z","evan_fernandes",2,"Supreme",52
"114","Alyx Studio Powerpuff Tee",95,"2019-03-11T19:35:25.216Z","cloutmercado",464,"Alyx",85
"115","Monogram Wallet",90,"2019-03-11T22:48:25.600Z","mom",4610,"Gucci",90
"116","Supreme crew neck",50,"2019-03-12T02:15:08.980Z","clck",12,"Supreme",55
"117","Supreme creeper tee",85,"2019-03-11T19:54:06.968Z","bluewaterstudios",47,"Supreme",80
"118","CCP 9 Horse leather side zips dark brown/midnight",450,"2019-03-11T19:18:40.208Z","caravjl",82,"Carol Christian Poell",430
"119","Fear of god jung",200,"2019-03-11T19:30:06.110Z","lunaluna272",56,"Fear of God",208
"120","Supreme 19S/S Kids Tee White size XL 100% Authentic",85,"2019-03-11T20:29:05.874Z","TheRedGuysLA",10,"Supreme",85
"121","Heather Grey Saks Exc. FG",200,"2019-03-11T20:30:49.219Z","lunaluna272",57,"Fear of God",230
"122","Supreme Apple Hooded Sweatshirt Navy",160,"2019-03-11T20:11:14.033Z","crosey",11,"Supreme",160
"123","*LAST DROP* Vlone Palm Angels Miami Art Basel Tee Shirt",110,"2019-03-11T19:01:23.887Z","hypebeastProducts",43,"Vlone",100
"124","GT-J34",583,"2019-03-11T21:13:12.407Z","freddyrogershood_1",21,"Acronym",603
"125","Nan Goldin/Supreme Kim In Rhinestones",95,"2019-03-12T00:25:21.354Z","jonahgonzales17",1,"Supreme",105
"126","Bape X Puma Hooded Sweatshirt 2015",150,"2019-03-11T19:02:34.893Z","burberrylyx",1,"Bape",125
"127","SUPREME × CHAMPION Color Blocked Jacket",162,"2019-03-11T19:49:59.532Z","chandlantaylor",16,"Supreme",172
"128","Palace Over Park Shell Top",145,"2019-03-11T20:59:14.984Z","Hermansss",1,"Palace",155
"129","Tiny LV Louis Vuitton Monogram pendant on Chain Necklace",80,"2019-03-12T00:08:45.068Z","NewportBeach",469,"Louis Vuitton",85
"130","Grim Tim Wild Spirit Jeans",90,"2019-03-11T23:34:34.922Z","logancharles",115,"Nudie Jeans",80
"131","Supreme Half Zip Windbreaker",121,"2019-03-11T19:26:33.419Z","doodoodonut",13,"Supreme",95
"132","FINAL!! NEEDLES AWGE A$AP ROCKY Striped Track Pants Green-Lime/Purple",235,"2019-03-11T18:41:59.525Z","abudabiz0r",29,"Needles",230
"133","Supreme Dream Tee",50,"2019-03-12T01:03:19.845Z","otgutierrez",2,"Supreme",40
"134","Rare Trucker Cap",270,"2019-03-11T20:57:05.579Z","DKNY",19,"Chrome Hearts",250
"135","Golf Wang Floggnaw Motors button up VERY RARE",150,"2019-03-11T20:39:14.842Z","jordansteven18",2,"Golf Wang",115
"136","Sean Weatherspoons Air Max",486,"2019-03-12T01:56:16.718Z","markeesef",13,"Nike",505
"137","Archive Bape 2006 Cloud Camo T-Shirt",90,"2019-03-11T21:48:06.651Z","4eign",76,"Bape",85
"138","Yeezy 700 Waverunner",250,"2019-03-11T18:47:34.882Z","JAYALMIGHTY",2,"Adidas Kanye West",250
"139","Fear of god hoodie",220,"2019-03-11T20:44:03.665Z","isjacoblee",54,"Fear of God",220
"140","Fear Of God X Vans Marshmallow",500,"2019-03-11T22:16:40.852Z","tovarerik",20,"Vans",450
"141","Half Zip Knit Polo",162,"2019-03-12T00:04:25.903Z","mcmullenspencer",20,"Supreme",140
"142","Noah Jolly Long Sleeve Logo",51,"2019-03-12T01:34:22.453Z","vicealeksa",77,"Noah",55
"143","Supreme arc hoodie",200,"2019-03-11T18:30:00.108Z","saket",29,"Supreme",185
"144","Nepenthes Miura",189,"2019-03-11T18:17:09.863Z","thedarknessinside",93,"Suicoke",160
"145","Strawberry Mansion Hoodie",181,"2019-03-12T00:20:09.972Z","sly_hoss",50,"Unwanted",180
"146","Twist Up 5 Panel Snapback Hat Black",135,"2019-03-12T01:34:22.647Z","planetterror",135,"Supreme",100
"147","Bape Backpack",80,"2019-03-11T21:16:13.386Z","knevandro",5,"Bape",88
"148","Supreme x The North Face 3M Roo Waist Bag 2013",145,"2019-03-11T22:58:30.729Z","fabianmatthews",11,"Supreme",120
"149","Olympic 5",81,"2019-03-11T20:32:47.633Z","patcamp215",40,"Jordan Brand",50
"150","Louis Vuitton Monogram Pendant on Chain Necklace",77,"2019-03-12T00:13:49.217Z","NewportBeach",470,"Louis Vuitton",82
"151","Tiny LV Louis Vuitton Key pendant on Chain Necklace",89,"2019-03-12T00:10:51.270Z","NewportBeach",469,"Louis Vuitton",94
"152","UNDERCOVER UNDAKOVRIST Made By Undercover",75,"2019-03-11T18:23:50.806Z","Brandedstore",33,"Undercover",60
"153","Still Life Tee",56,"2019-03-11T22:11:34.625Z","tylander24",25,"Supreme",52
"154","Supreme Shoulder Bag (SS19) Olive",81,"2019-03-11T18:10:33.961Z","stevencastillo385",2,"Supreme",73
"155","Stone Island Knit Sweater",196,"2019-03-11T20:21:56.363Z","wh1teferrar1",30,"Stone Island",195
"156","Supreme",162,"2019-03-11T21:51:52.385Z","CF98",25,"Supreme",180
"157","20"" | Silver & Gold Plated Two-Tone GG Logo Bar Pendant on 14K Gold Plated Flat Mariner Gucci Link Chain Necklace",63,"2019-03-11T22:09:21.351Z","jerothejeweler",1286,"Gucci",63
"158","GOSHA RUBCHINSKIY Combo Hoodie SS18",210,"2019-03-11T21:52:59.610Z","filipovsky",6,"Gosha Rubchinskiy",230
"159","FTP Logo Football",36,"2019-03-12T01:11:58.689Z","wresellmania",22,"Fuck The Population",35
"160","Yeezy 500 Utility Black NEED GONE",230,"2019-03-11T19:56:30.065Z","alexzapatkaa",44,"Yeezy Boost",230
"161","Acne Studio x All Blues Ring",90,"2019-03-11T21:42:07.614Z","buymysandwiches",266,"Acne Studios",80
"162","Filigree Cross Pendant And Chain",260,"2019-03-11T18:33:43.458Z","-KeKe-",387,"Chrome Hearts",260
"163","Turbo Green Air Jordan 1",185,"2019-03-12T00:51:10.262Z","jalenstevenson6",20,"Nike",190
"164","Supreme Small Box Logo SS18",60,"2019-03-12T02:09:32.158Z","Thehypelordd",47,"Supreme",85
"165","SS16 Boxy Fit Tropic Shirt Graffiti Palms Japanese Viscose Jumbo Oversized 48 /M-L-XL",130,"2019-03-11T18:01:48.025Z","shyne44",112,"Our Legacy",110
"166","FINAL DROP NEED GONE Rare Golf Wang Mint Logo Crewneck",75,"2019-03-11T21:15:58.443Z","dylanaviles",5,"Golf Wang",70
"167","Nike Air Jordan 1 Hi og Metallic Navy size 9.5",200,"2019-03-11T20:29:59.453Z","kabukubikicks",44,"Jordan Brand",190
"168","Europe Release Only 3M Black NMD",72,"2019-03-11T18:02:25.522Z","tokage",86,"Adidas",91
"169","Noah Core Logo Zip Up Hoodie",89,"2019-03-11T17:20:59.705Z","moriyoshi",26,"Noah",95
"170","Supreme x Comme Des Garcons Box Logo",280,"2019-03-11T19:06:44.391Z","dgruzdnevs",4,"Supreme",275
"171","A cold wall x nike",250,"2019-03-11T17:20:32.560Z","jerryhyster",44,"Nike",250
"172","Converse x JW Anderson Chuck 70 Grid High Top",73,"2019-03-11T22:06:46.570Z","cgonci",2,"Converse",70
"173","*3PACK* SUPREME Supreme BAND-AID BRAND",50,"2019-03-11T17:54:02.741Z","cloutmercado",463,"Supreme",42
"174","Commes Des Garcons Evergreen Chinos, Black , L (33-34 waist)",56,"2019-03-12T00:10:16.054Z","billygo",4,"Comme des Garcons",55
"175","Supreme Remember Your Friends Dog Shirt",64,"2019-03-11T20:17:58.305Z","efgiesen",11,"Supreme",58
"176","Fleece Jacket- Orange/Navy",105,"2019-03-11T17:22:53.335Z","sevronell",94,"Dime",80
"177","Supreme Bombay Tee (FW18)",45,"2019-03-11T17:40:25.773Z","AjDaley561",1,"Supreme",40
"178","Indisce Pants",199,"2019-03-11T17:05:36.038Z","one2nd",152,"Arc'Teryx Veilance",204
"179","Men’s Versace Sunglasses Brand New",160,"2019-03-11T20:52:19.619Z","dkanellopoulos",9,"Versace",150
"180","Balenciaga Bernie Sanders Campaign Hoodie",310,"2019-03-11T18:07:21.750Z","mi-jo",1,"Balenciaga",230
"181","SS16 Sweatshirt",100,"2019-03-11T16:53:55.584Z","ValeraLeo",5,"Stone Island",82
"182","Fear Of God Vans Slip-On V DX Black White",280,"2019-03-11T16:57:22.485Z","JohnByun",52,"Vans",280
"183","Supreme Geto Boys tee",54,"2019-03-11T16:47:27.967Z","Skurexz",21,"Supreme",45
"184","Nigel Sylvester X Air Jordan 1 Hi NRG",315,"2019-03-11T21:51:23.058Z","qdiddy44",30,"Nike",325
"185","Common Projects Original Achilles Mid - White Sneakers.",255,"2019-03-11T16:49:24.950Z","encedro",94,"Common Projects",233
"186","Mason Jar set (set Of 2)",72,"2019-03-11T16:54:28.401Z","luisazevedo158",96,"Supreme",85
"187","Purple Vlone Palm Angels Tee",120,"2019-03-11T16:46:03.889Z","hypebeastProducts",42,"Vlone",130
"188","Palace hat",30,"2019-03-11T21:58:32.544Z","blaekehild",1,"Adidas",42
"189","Golf Wang 35mm Side Striped Tee",68,"2019-03-11T17:03:29.266Z","andygomez0912",29,"Golf Wang",78
"190","Astroworld Tee",70,"2019-03-11T22:53:36.149Z","lucero_joseph",9,"Travis Scott",77
